,cluster
2018-03-19 04:55:00,2
2018-03-19 05:25:00,3
2018-03-19 05:35:00,3
2018-03-19 06:55:00,3
2018-03-19 07:10:00,3
2018-03-19 07:50:00,3
2018-03-19 10:35:00,3
2018-03-19 10:50:00,3
2018-03-19 10:55:00,3
2018-03-19 11:00:00,3
2018-03-19 11:10:00,2
2018-03-19 11:15:00,3
2018-03-19 11:20:00,2
2018-03-19 11:25:00,3
2018-03-19 11:30:00,2
2018-03-19 11:45:00,3
2018-03-19 11:50:00,2
2018-03-19 11:55:00,2
2018-03-19 12:05:00,2
2018-03-19 12:10:00,2
2018-03-19 12:20:00,3
2018-03-19 12:25:00,3
2018-03-19 12:30:00,3
2018-03-19 12:35:00,3
2018-03-19 12:40:00,3
2018-03-19 12:45:00,3
2018-03-19 13:00:00,3
2018-03-19 13:05:00,3
2018-03-19 13:10:00,3
2018-03-19 13:20:00,3
2018-03-19 13:25:00,3
2018-03-19 13:35:00,3
2018-03-19 14:40:00,3
2018-03-20 00:15:00,0
2018-03-20 00:20:00,0
2018-03-20 00:25:00,0
2018-03-20 00:30:00,0
2018-03-20 00:35:00,0
2018-03-20 00:40:00,0
2018-03-20 00:45:00,0
2018-03-20 00:50:00,0
2018-03-20 00:55:00,0
2018-03-20 01:00:00,0
2018-03-20 01:05:00,2
2018-03-20 01:10:00,0
2018-03-20 19:45:00,2
2018-03-26 09:45:00,0
2018-03-26 09:50:00,0
2018-03-30 11:40:00,3
2018-03-30 12:25:00,3
2018-03-30 12:45:00,3
2018-03-30 18:20:00,3
2018-04-04 03:30:00,1
2018-04-04 03:35:00,1
2018-04-04 03:40:00,1
2018-04-04 03:45:00,0
2018-04-04 03:50:00,0
2018-04-04 04:00:00,0
2018-04-04 04:05:00,0
2018-04-04 05:35:00,2
